brand,disc_name,speed,glide,turn,fade
gateway disc sports,siren,13,5,-2,1
gateway disc sports,slayer,13,5,-1,2
gateway disc sports,speed demon,12,4,0,3
gateway disc sports,speed demon dt,12,4,0,3
gateway disc sports,spirit,12,4,0,4
gateway disc sports,voodoo,2,3,0,2
gateway disc sports,warlock,2,3,0,1
gateway disc sports,warspear,2,3,0,2.5
gateway disc sports,wizard,2,3,0,2
guru disc golf,fenris,13,5,-1,2
guru disc golf,midgard,6,5,-1,1
guru disc golf,mjolner,2,3,0,1
guru disc golf,sleipner,10,4,-1,2
guru disc golf,thor,4,4,0,2
infinite discs,anubis,5,5,0,0
infinite discs,chariot,5,5,0,1
infinite discs,exodus,7,5,-0.5,2
infinite discs,myth,2,3,0,2
infinite discs,pharaoh,13,6,-1,2
infinite discs,ra,5,4,0,3
infinite discs,slab,12,3,0,4
infinite discs,sphinx,9,6,-3,1
infinite discs,tomb,3,4,0,1
innova,ape,13,5,0,4
innova,aero,3,6,0,0
innova,archangel,8,6,-4,1
innova,archon,11,5,-2,2
innova,atlas,5,4,0,1
innova,aviar,2,3,0,1
innova,aviarx3,3,2,0,3
innova,aviar3,3,2,0,2
innova,aviar xd,3,4,-1,1
innova,banshee,7,3,0,3
innova,beast,10,5,-2,2
innova,birdie,1,2,0,0
innova,boss,13,5,-1,3
innova,bullfrog,3,1,0,1
innova,caiman,5.5,2,0,4
innova,cheetah,6,4,-2,2
innova,classic roc,3,3,0,2
innova,cobra,4,5,-2,2
innova,colossus,14,5,-2,3
innova,colt,3,4,-1,1
innova,corvette,14,6,-1,2
innova,coyote,4,5,0,1
innova,cro,5,3,0,2
innova,daedalus,13,6,-3,2
innova,dart,3,4,0,0
innova,destroyer,12,5,-1,3
innova,dominator,13,5,-1,2
innova,dragon,8,5,-2,2
innova,eagle,7,4,-1,3
innova,firebird,9,3,0,4
innova,fl,9,3,0,4
innova,firestorm,14,4,0,3
innova,foxbat,5,6,-1,0
innova,gator,5,2,0,4
innova,gator3,5,2,0,3
innova,gazelle,6,4,0,2
innova,groove,13,6,-2,2
innova,hydra,3,3,0,1
innova,katana,13,5,-3,3
innova,kite,5,6,-3,1
innova,krait,11,5,-1,2
innova,leopard,6,5,-2,1
innova,leopard3,7,5,-2,1
innova,mako,4,5,0,0
innova,mako3,5,5,0,0
innova,mamba,11,6,-5,1
innova,manta,5,5,-2,1
innova,max,11,3,0,5
innova,mirage,3,4,-3,0
innova,monarch,10,5,-4,1
innova,monster,10,3,0,5
innova,mystere,11,6,-2,2
innova,nova,2,3,0,0
innova,orc,10,4,-1,3
innova,panther,5,4,-2,1
innova,pig,3,1,0,3
innova,polecat,1,3,0,0
innova,rat,4,2,0,3
innova,rhyno,2,1,0,3
innova,roadrunner,9,5,-4,1
innova,roc,4,4,0,3
innova,roc3,5,4,0,3
innova,RocX3,5,4,0,3.5
innova,savant,9,5,-1,2
innova,shark,4,4,0,2
innova,shark3,5,4,0,2
innova,shryke,13,6,-2,2
innova,sidewinder,9,5,-3,1
innova,skeeter,5,5,-1,1
innova,sonic,1,2,-4,0
innova,spider,5,3,0,1
innova,starfire,10,4,0,3
innova,sl,10,4,0,3
innova,stingray,4,5,-3,1
innova,stud,3,3,0,2
innova,teebird,7,5,0,2
innova,teebird3,8,4,0,2
innova,TL,7,5,0,1
innova,teedevil,12,5,-1,2
innova,teerex,11,4,0,4
innova,tern,12,6,-3,2
innova,TL3,8,4,0,1
innova,thunderbird,9,5,0,2
innova,valkyrie,9,4,-2,2
innova,viking,9,4,-1,2
innova,viper,6,4,1,5
innova,vroc,4,4,0,1
innova,vulcan,13,5,-4,2
innova,wahoo,12,6,-2,2
innova,wedge,3.5,3,-3,1
innova,whale,2,3,0,1
innova,whippet,6,3,1,5
innova,wolf,4,3,-4,1
innova,wombat,5,6,-1,0
innova,wombat3,5,6,-1,0
innova,wraith,11,5,-1,3
innova,xcaliber,12,5,0,4
innova,lion,5,4,0,2
kastaplast,berg,1,1,0,2
kastaplast,falk,9,6,-2,2
kastaplast,grym,13,5,-2,2
kastaplast,grym x,13,5,-1,2
kastaplast,kaxe,6,4,0,3
kastaplast,kaxe z,6,5,0,2
kastaplast,rask,14,3,0,4
kastaplast,reko,3,3,0,1
kastaplast,stal,9,4,0,3
kestrel outdoors,beginner fairway driver,7,6,1,1
kestrel outdoors,beginner mid-range,3,3,0,2
kestrel outdoors,beginner putter,1,3,0,1
latitude 64,anchor,5,4,0,3
latitude 64,ballista,14,5,-1,3
latitude 64,ballista pro,14,4,0,3
latitude 64,beetle,1,7,-1,0
latitude 64,bite,3,3,0,0
latitude 64,blitz,12,3,0,4
latitude 64,bolt,13,6,-2,3
latitude 64,bryce,9,6,-2,2
latitude 64,caltrop,2,2,0,2
latitude 64,claymore,5,5,-1,1
latitude 64,compass,5,5,0,1
latitude 64,core,6,5,-0.5,1
latitude 64,culverin,9,5,-0.5,3
latitude 64,cutlass,13,5,0,3.5
latitude 64,dagger,2,5,0,1
latitude 64,diamond,8,6,-3,1
latitude 64,explorer,7,5,0,2
latitude 64,falchion,8,5,-1,2
latitude 64,flow,11,6,-0.5,2
latitude 64,fuji,4,4,0,2
latitude 64,fury,9,6,-2,2
latitude 64,fuse,5,6,-1,0
latitude 64,gauntlet,2,4,0,1
latitude 64,gladiator,13,5,0,3.5
latitude 64,gobi,6,5,-0.5,1
latitude 64,halo,13,5,-0.5,3
latitude 64,havoc,13,5,-1,3
latitude 64,jade,9,6,-2,1
latitude 64,knight,14,4,-1.5,4
latitude 64,macana,2,5,0,1
latitude 64,mace,5,5,0,2
latitude 64,maul,7,7,-2,1
latitude 64,mercy,2,4,0,1
latitude 64,missilen,15,3,-0.5,4.5
latitude 64,musket,10,5,-0.5,2
latitude 64,pain,4,4,0,3
latitude 64,pearl,4,6,-4,0
